client,benchmark,iteration,value_ns,success,error,param_size,param_concurrency
pika,publish_latency,0,43927800,True,,256B,
pika,publish_latency,1,44179000,True,,256B,
pika,publish_latency,2,44460300,True,,256B,
pika,publish_latency,3,44361900,True,,256B,
pika,publish_latency,4,44119200,True,,256B,
pika,publish_latency,5,43701000,True,,256B,
pika,publish_latency,6,44573600,True,,256B,
pika,publish_latency,7,43797900,True,,256B,
pika,publish_latency,8,44519200,True,,256B,
pika,publish_latency,9,45660900,True,,256B,
pika,publish_latency,10,42366500,True,,256B,
pika,publish_latency,11,44155700,True,,256B,
pika,publish_latency,12,44176300,True,,256B,
pika,publish_latency,13,44227100,True,,256B,
pika,publish_latency,14,44792600,True,,256B,
pika,publish_latency,15,43722200,True,,256B,
pika,publish_latency,16,43956000,True,,256B,
pika,publish_latency,17,44368000,True,,256B,
pika,publish_latency,18,44195800,True,,256B,
pika,publish_latency,19,44414300,True,,256B,
pika,publish_latency,20,43885000,True,,256B,
pika,publish_latency,21,44024200,True,,256B,
pika,publish_latency,22,44336300,True,,256B,
pika,publish_latency,23,44121400,True,,256B,
pika,publish_latency,24,44321000,True,,256B,
pika,publish_latency,25,44570400,True,,256B,
pika,publish_latency,26,43582400,True,,256B,
pika,publish_latency,27,44198200,True,,256B,
pika,publish_latency,28,44266900,True,,256B,
pika,publish_latency,29,44113400,True,,256B,
pika,publish_latency,30,44190100,True,,256B,
pika,publish_latency,31,44239000,True,,256B,
pika,publish_latency,32,44408100,True,,256B,
pika,publish_latency,33,44125800,True,,256B,
pika,publish_latency,34,43896000,True,,256B,
pika,publish_latency,35,44146400,True,,256B,
pika,publish_latency,36,44314000,True,,256B,
pika,publish_latency,37,44383800,True,,256B,
pika,publish_latency,38,44071600,True,,256B,
pika,publish_latency,39,44229100,True,,256B,
pika,publish_latency,40,44028100,True,,256B,
pika,publish_latency,41,44236100,True,,256B,
pika,publish_latency,42,44425100,True,,256B,
pika,publish_latency,43,43869300,True,,256B,
