client,benchmark,iteration,value_ns,success,error,param_size,param_concurrency
pika,publish_latency,0,43613700,True,,256B,
pika,publish_latency,1,43729900,True,,256B,
pika,publish_latency,2,44078500,True,,256B,
pika,publish_latency,3,43820000,True,,256B,
pika,publish_latency,4,43423900,True,,256B,
pika,publish_latency,5,43783100,True,,256B,
pika,publish_latency,6,44040700,True,,256B,
pika,publish_latency,7,43583300,True,,256B,
pika,publish_latency,8,44063700,True,,256B,
pika,publish_latency,9,43651800,True,,256B,
pika,publish_latency,10,43807100,True,,256B,
pika,publish_latency,11,43687900,True,,256B,
pika,publish_latency,12,44089900,True,,256B,
pika,publish_latency,13,43902800,True,,256B,
pika,publish_latency,14,43908100,True,,256B,
pika,publish_latency,15,43621400,True,,256B,
pika,publish_latency,16,43645600,True,,256B,
pika,publish_latency,17,43850400,True,,256B,
pika,publish_latency,18,43916300,True,,256B,
pika,publish_latency,19,43789200,True,,256B,
pika,publish_latency,20,43839400,True,,256B,
pika,publish_latency,21,43839200,True,,256B,
pika,publish_latency,22,43819500,True,,256B,
pika,publish_latency,23,43891600,True,,256B,
pika,publish_latency,24,44210400,True,,256B,
pika,publish_latency,25,43644700,True,,256B,
pika,publish_latency,26,43764600,True,,256B,
pika,publish_latency,27,43672700,True,,256B,
pika,publish_latency,28,44163500,True,,256B,
pika,publish_latency,29,43631100,True,,256B,
pika,publish_latency,30,43891300,True,,256B,
pika,publish_latency,31,43664900,True,,256B,
pika,publish_latency,32,43882000,True,,256B,
pika,publish_latency,33,43892400,True,,256B,
pika,publish_latency,34,43956000,True,,256B,
pika,publish_latency,35,43829100,True,,256B,
pika,publish_latency,36,43958400,True,,256B,
pika,publish_latency,37,43840800,True,,256B,
pika,publish_latency,38,44115300,True,,256B,
pika,publish_latency,39,43888800,True,,256B,
pika,publish_latency,40,43590600,True,,256B,
pika,publish_latency,41,43936000,True,,256B,
pika,publish_latency,42,44023200,True,,256B,
pika,publish_latency,43,44024000,True,,256B,
pika,publish_latency,44,43912700,True,,256B,
pika,publish_latency,45,43560900,True,,256B,
pika,publish_latency,46,43944000,True,,256B,
pika,publish_latency,47,43963800,True,,256B,
pika,publish_latency,48,43899700,True,,256B,
pika,publish_latency,49,43945800,True,,256B,
pika,publish_latency,0,43559100,True,,1KB,
pika,publish_latency,1,43862400,True,,1KB,
pika,publish_latency,2,43866700,True,,1KB,
pika,publish_latency,3,43887900,True,,1KB,
pika,publish_latency,4,43961000,True,,1KB,
pika,publish_latency,5,43998400,True,,1KB,
pika,publish_latency,6,43873000,True,,1KB,
pika,publish_latency,7,44114600,True,,1KB,
pika,publish_latency,8,43731300,True,,1KB,
pika,publish_latency,9,44236400,True,,1KB,
pika,publish_latency,10,43932700,True,,1KB,
pika,publish_latency,11,43698500,True,,1KB,
pika,publish_latency,12,43967300,True,,1KB,
pika,publish_latency,13,43866600,True,,1KB,
pika,publish_latency,14,43883900,True,,1KB,
pika,publish_latency,15,43861800,True,,1KB,
pika,publish_latency,16,44364400,True,,1KB,
pika,publish_latency,17,43594600,True,,1KB,
pika,publish_latency,18,43928700,True,,1KB,
pika,publish_latency,19,44005400,True,,1KB,
pika,publish_latency,20,43950700,True,,1KB,
pika,publish_latency,21,44061400,True,,1KB,
pika,publish_latency,22,43832300,True,,1KB,
pika,publish_latency,23,44131900,True,,1KB,
pika,publish_latency,24,43635300,True,,1KB,
pika,publish_latency,25,43978300,True,,1KB,
pika,publish_latency,26,44106800,True,,1KB,
pika,publish_latency,27,43872500,True,,1KB,
pika,publish_latency,28,43719800,True,,1KB,
pika,publish_latency,29,44449100,True,,1KB,
pika,publish_latency,30,43542600,True,,1KB,
pika,publish_latency,31,43995600,True,,1KB,
pika,publish_latency,32,44084300,True,,1KB,
pika,publish_latency,33,43775400,True,,1KB,
pika,publish_latency,34,44195200,True,,1KB,
pika,publish_latency,35,44240400,True,,1KB,
pika,publish_latency,36,43731700,True,,1KB,
pika,publish_latency,37,43883500,True,,1KB,
pika,publish_latency,38,44104600,True,,1KB,
pika,publish_latency,39,43945000,True,,1KB,
pika,publish_latency,40,43741200,True,,1KB,
pika,publish_latency,41,44262100,True,,1KB,
pika,publish_latency,42,43559400,True,,1KB,
pika,publish_latency,43,43964200,True,,1KB,
pika,publish_latency,44,44572800,True,,1KB,
pika,publish_latency,45,43672400,True,,1KB,
pika,publish_latency,46,43683100,True,,1KB,
pika,publish_latency,47,44355200,True,,1KB,
pika,publish_latency,48,43987300,True,,1KB,
pika,publish_latency,49,44102600,True,,1KB,
pika,consume_latency,0,886900,True,,256B,
pika,consume_latency,1,697200,True,,256B,
pika,consume_latency,2,1046000,True,,256B,
pika,consume_latency,3,650600,True,,256B,
pika,consume_latency,4,628000,True,,256B,
pika,consume_latency,5,666100,True,,256B,
pika,consume_latency,6,643700,True,,256B,
pika,consume_latency,7,625300,True,,256B,
pika,consume_latency,8,768400,True,,256B,
pika,consume_latency,9,772300,True,,256B,
pika,consume_latency,10,902100,True,,256B,
pika,consume_latency,11,743100,True,,256B,
pika,consume_latency,12,854400,True,,256B,
pika,consume_latency,13,877300,True,,256B,
pika,consume_latency,14,635200,True,,256B,
pika,consume_latency,15,628400,True,,256B,
pika,consume_latency,16,657600,True,,256B,
pika,consume_latency,17,656200,True,,256B,
pika,consume_latency,18,669000,True,,256B,
pika,consume_latency,19,638300,True,,256B,
pika,consume_latency,20,631000,True,,256B,
pika,consume_latency,21,748600,True,,256B,
pika,consume_latency,22,706400,True,,256B,
pika,consume_latency,23,664000,True,,256B,
pika,consume_latency,24,650000,True,,256B,
pika,consume_latency,25,692600,True,,256B,
pika,consume_latency,26,669800,True,,256B,
pika,consume_latency,27,653600,True,,256B,
pika,consume_latency,28,637200,True,,256B,
pika,consume_latency,29,636400,True,,256B,
pika,consume_latency,30,645000,True,,256B,
pika,consume_latency,31,634600,True,,256B,
pika,consume_latency,32,827700,True,,256B,
pika,consume_latency,33,657100,True,,256B,
pika,consume_latency,34,638300,True,,256B,
pika,consume_latency,35,637100,True,,256B,
pika,consume_latency,36,652800,True,,256B,
pika,consume_latency,37,688900,True,,256B,
pika,consume_latency,38,732200,True,,256B,
pika,consume_latency,39,660800,True,,256B,
pika,consume_latency,40,723400,True,,256B,
pika,consume_latency,41,855800,True,,256B,
pika,consume_latency,42,626300,True,,256B,
pika,consume_latency,43,918800,True,,256B,
pika,consume_latency,44,895000,True,,256B,
pika,consume_latency,45,610900,True,,256B,
pika,consume_latency,46,623300,True,,256B,
pika,consume_latency,47,643400,True,,256B,
pika,consume_latency,48,634800,True,,256B,
pika,consume_latency,49,584000,True,,256B,
pika,consume_latency,0,795500,True,,1KB,
pika,consume_latency,1,617400,True,,1KB,
pika,consume_latency,2,622600,True,,1KB,
pika,consume_latency,3,619000,True,,1KB,
pika,consume_latency,4,659400,True,,1KB,
pika,consume_latency,5,633200,True,,1KB,
pika,consume_latency,6,626500,True,,1KB,
pika,consume_latency,7,631700,True,,1KB,
pika,consume_latency,8,709400,True,,1KB,
pika,consume_latency,9,708300,True,,1KB,
pika,consume_latency,10,623400,True,,1KB,
pika,consume_latency,11,642000,True,,1KB,
