client,benchmark,iteration,value_ns,success,error,param_size,param_concurrency
aio-pika,publish_latency,0,638700,True,,256B,
aio-pika,publish_latency,1,568600,True,,256B,
aio-pika,publish_latency,2,646800,True,,256B,
aio-pika,publish_latency,3,593100,True,,256B,
aio-pika,publish_latency,4,754200,True,,256B,
aio-pika,publish_latency,5,673600,True,,256B,
aio-pika,publish_latency,6,572300,True,,256B,
aio-pika,publish_latency,7,561900,True,,256B,
aio-pika,publish_latency,8,609300,True,,256B,
aio-pika,publish_latency,9,588800,True,,256B,
aio-pika,publish_latency,10,608900,True,,256B,
aio-pika,publish_latency,11,674700,True,,256B,
aio-pika,publish_latency,12,704300,True,,256B,
aio-pika,publish_latency,13,614400,True,,256B,
aio-pika,publish_latency,14,570700,True,,256B,
aio-pika,publish_latency,15,604500,True,,256B,
aio-pika,publish_latency,16,586300,True,,256B,
aio-pika,publish_latency,17,574400,True,,256B,
aio-pika,publish_latency,18,567000,True,,256B,
aio-pika,publish_latency,19,624700,True,,256B,
aio-pika,publish_latency,20,621400,True,,256B,
aio-pika,publish_latency,21,557900,True,,256B,
aio-pika,publish_latency,22,592500,True,,256B,
aio-pika,publish_latency,23,600400,True,,256B,
aio-pika,publish_latency,24,613700,True,,256B,
aio-pika,publish_latency,25,694100,True,,256B,
aio-pika,publish_latency,26,796200,True,,256B,
aio-pika,publish_latency,27,754500,True,,256B,
aio-pika,publish_latency,28,588900,True,,256B,
aio-pika,publish_latency,29,712200,True,,256B,
aio-pika,publish_latency,30,586200,True,,256B,
aio-pika,publish_latency,31,625000,True,,256B,
aio-pika,publish_latency,32,611800,True,,256B,
aio-pika,publish_latency,33,595500,True,,256B,
aio-pika,publish_latency,34,566300,True,,256B,
aio-pika,publish_latency,35,615400,True,,256B,
aio-pika,publish_latency,36,546200,True,,256B,
aio-pika,publish_latency,37,630200,True,,256B,
aio-pika,publish_latency,38,610100,True,,256B,
aio-pika,publish_latency,39,568900,True,,256B,
aio-pika,publish_latency,40,566000,True,,256B,
aio-pika,publish_latency,41,556300,True,,256B,
aio-pika,publish_latency,42,622800,True,,256B,
aio-pika,publish_latency,43,556700,True,,256B,
aio-pika,publish_latency,44,613600,True,,256B,
aio-pika,publish_latency,45,559200,True,,256B,
aio-pika,publish_latency,46,581900,True,,256B,
aio-pika,publish_latency,47,580300,True,,256B,
aio-pika,publish_latency,48,886000,True,,256B,
aio-pika,publish_latency,49,598800,True,,256B,
aio-pika,publish_latency,0,645000,True,,1KB,
aio-pika,publish_latency,1,668600,True,,1KB,
aio-pika,publish_latency,2,620200,True,,1KB,
aio-pika,publish_latency,3,628300,True,,1KB,
aio-pika,publish_latency,4,616900,True,,1KB,
aio-pika,publish_latency,5,598000,True,,1KB,
aio-pika,publish_latency,6,562700,True,,1KB,
aio-pika,publish_latency,7,598400,True,,1KB,
aio-pika,publish_latency,8,564700,True,,1KB,
aio-pika,publish_latency,9,551300,True,,1KB,
aio-pika,publish_latency,10,552800,True,,1KB,
aio-pika,publish_latency,11,586000,True,,1KB,
aio-pika,publish_latency,12,559900,True,,1KB,
aio-pika,publish_latency,13,585200,True,,1KB,
aio-pika,publish_latency,14,603900,True,,1KB,
aio-pika,publish_latency,15,578300,True,,1KB,
aio-pika,publish_latency,16,566300,True,,1KB,
aio-pika,publish_latency,17,593400,True,,1KB,
aio-pika,publish_latency,18,605600,True,,1KB,
aio-pika,publish_latency,19,548800,True,,1KB,
aio-pika,publish_latency,20,621300,True,,1KB,
aio-pika,publish_latency,21,598000,True,,1KB,
aio-pika,publish_latency,22,655900,True,,1KB,
aio-pika,publish_latency,23,668500,True,,1KB,
aio-pika,publish_latency,24,573000,True,,1KB,
aio-pika,publish_latency,25,561800,True,,1KB,
aio-pika,publish_latency,26,747800,True,,1KB,
aio-pika,publish_latency,27,626200,True,,1KB,
aio-pika,publish_latency,28,648100,True,,1KB,
aio-pika,publish_latency,29,551400,True,,1KB,
aio-pika,publish_latency,30,588700,True,,1KB,
aio-pika,publish_latency,31,586400,True,,1KB,
aio-pika,publish_latency,32,554500,True,,1KB,
aio-pika,publish_latency,33,606000,True,,1KB,
aio-pika,publish_latency,34,613600,True,,1KB,
