client,benchmark,iteration,value_ns,success,error,param_size,param_concurrency
aio-pika,publish_latency,0,630800,True,,256B,
aio-pika,publish_latency,1,619400,True,,256B,
aio-pika,publish_latency,2,588100,True,,256B,
aio-pika,publish_latency,3,598000,True,,256B,
aio-pika,publish_latency,4,584500,True,,256B,
aio-pika,publish_latency,5,774400,True,,256B,
aio-pika,publish_latency,6,642400,True,,256B,
aio-pika,publish_latency,7,591600,True,,256B,
aio-pika,publish_latency,8,572800,True,,256B,
aio-pika,publish_latency,9,587000,True,,256B,
aio-pika,publish_latency,10,594600,True,,256B,
aio-pika,publish_latency,11,584600,True,,256B,
aio-pika,publish_latency,12,578400,True,,256B,
aio-pika,publish_latency,13,573700,True,,256B,
aio-pika,publish_latency,14,575200,True,,256B,
aio-pika,publish_latency,15,643800,True,,256B,
aio-pika,publish_latency,16,614400,True,,256B,
aio-pika,publish_latency,17,829000,True,,256B,
aio-pika,publish_latency,18,578600,True,,256B,
aio-pika,publish_latency,19,736400,True,,256B,
aio-pika,publish_latency,20,691400,True,,256B,
aio-pika,publish_latency,21,595100,True,,256B,
aio-pika,publish_latency,22,587000,True,,256B,
aio-pika,publish_latency,23,586100,True,,256B,
aio-pika,publish_latency,24,583800,True,,256B,
aio-pika,publish_latency,25,700100,True,,256B,
aio-pika,publish_latency,26,966000,True,,256B,
aio-pika,publish_latency,27,679200,True,,256B,
aio-pika,publish_latency,28,605400,True,,256B,
aio-pika,publish_latency,29,595500,True,,256B,
aio-pika,publish_latency,30,581500,True,,256B,
aio-pika,publish_latency,31,612600,True,,256B,
aio-pika,publish_latency,32,602800,True,,256B,
aio-pika,publish_latency,33,577300,True,,256B,
aio-pika,publish_latency,34,592500,True,,256B,
aio-pika,publish_latency,35,589900,True,,256B,
aio-pika,publish_latency,36,585000,True,,256B,
aio-pika,publish_latency,37,586700,True,,256B,
aio-pika,publish_latency,38,637600,True,,256B,
aio-pika,publish_latency,39,600600,True,,256B,
aio-pika,publish_latency,40,569700,True,,256B,
